Timestamp,Name,Email,Phone Number,Year (1 through 5),Current grade in class (0-100),Skill set [GoLang],"Skill set [Non-relational database (neo4J, NoSQL, MongoDB etc...)]",Skill set [Python],Skill set [Java],Skill set [Flask (Python Library)],Skill set [GitHub],Skill set [AWS],Skill set [JavaScript],Skill set [Racket],Skill set [Scala],Skill set [HTML/CSS],What is your availability? [Monday],What is your availability? [Tuesday],What is your availability? [Wednesday],What is your availability? [Thursday],What is your availability? [Friday],What is your availability? [Saturday],What is your availability? [Sunday],Project Type Interest (Check all that apply or none),Who would you prefer to work with? (email),Second person you would prefer to work with? (email) ,"If you're in a group, what is your group name? "
4/6/2019 15:56:09,Steven Setteducati Jr.,setteducati.s@husky.neu.edu,2016997123,3,90.5,Not known,Not known,Advanced,Advanced,Not known,Intermediate,Advanced,Beginner,Beginner,Not known,Not known,"8am - 10am, 12pm - 2pm, 6pm - 8pm","8am - 10am, 2pm - 4pm, 4pm - 6pm","8am - 10am, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm",unavailable on that day,"12pm - 2pm, 2pm - 4pm",unavailable on that day,unavailable on that day,"Web App, Data Collection",hoffman.j@husky.neu.edu,fleischmann.m@husky.neu.edu,
4/6/2019 15:58:03,Richie Rich,rich.r@husky.neu.edu,2013287009,5,100,Not known,Not known,Not known,Advanced,Not known,Advanced,Not known,Not known,Not known,Not known,Advanced,"4pm - 6pm, 8pm - 10pm","10am - 12pm, 2pm - 4pm","12pm - 2pm, 4pm - 6pm",6pm - 8pm,"10am - 12pm, 2pm - 4pm","12pm - 2pm, 4pm - 6pm",unavailable on that day,Web App,,,Rich Fam
4/6/2019 16:01:34,Jon Snow,snow.j@husky.neu.edu,1112289009,2,87,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Not known,Advanced,Not known,Beginner,Advanced,"10am - 12pm, 12pm - 2pm","10am - 12pm, 4pm - 6pm","2pm - 4pm, 4pm - 6pm","10am - 12pm, 4pm - 6pm, 8pm - 10pm",2pm - 4pm,"10am - 12pm, 6pm - 8pm",unavailable on that day,"Analysis, Visualization",stark.e@husky.neu.edu,targaryen.d@husky.neu.edu,Bend The Knee
4/6/2019 16:03:32,Daenerys Targaryen,targaryen.d@husky.neu.edu,5551827340,2,86,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Advanced,Intermediate,Not known,Advanced,"10am - 12pm, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm",unavailable on that day,"Analysis, Visualization",snow.j@husky.neu.edu,lannister.t@husky.neu.edu,Bend The Knee
4/6/2019 16:05:01,Tyrion Lannister,lannister.t@husky.neu.edu,9182725654,3,99,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Advanced,Advanced,Beginner,Advanced,Advanced,12pm - 2pm,"10am - 12pm, 2pm - 4pm, 6pm - 8pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm, 6pm - 8pm","12pm - 2pm, 2pm - 4pm","2pm - 4pm, 4pm - 6pm, 8pm - 10pm","2pm - 4pm, 8pm - 10pm",unavailable on that day,"Analysis, Visualization",targaryen.d@husky.neu.edu,snow.j@husky.neu.edu,Bend The Knee
4/6/2019 18:40:44,Sally,sally@northeastern.edu,8888888888,3,75,Intermediate,Not known,Advanced,Beginner,Intermediate,Advanced,Not known,Beginner,Intermediate,Not known,Beginner,"8am - 10am, 12pm - 2pm","8am - 10am, 2pm - 4pm, 10pm onward","8am - 10am, 4pm - 6pm, 10pm onward","8am - 10am, 12pm - 2pm, 6pm - 8pm","8am - 10am, 4pm - 6pm, 10pm onward","8am - 10am, 12pm - 2pm, 6pm - 8pm, 10pm onward","8am - 10am, 12pm - 2pm, 4pm - 6pm, 10pm onward","Data Collection, Analysis",john@northeastern.edu,jim@northeastern.edu,
4/6/2019 18:42:08,Jay,jay@northeastern.edu,7777777777,1,92,Not known,Not known,Not known,Advanced,Not known,Advanced,Not known,Not known,Advanced,Not known,Not known,unavailable on that day,unavailable on that day,"8am - 10am, 10am - 12pm, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm, 8pm - 10pm, 10pm onward","8am - 10am, 10am - 12pm, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm, 8pm - 10pm, 10pm onward","10am - 12pm, 12pm - 2pm","8am - 10am, 10am - 12pm, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm, 8pm - 10pm, 10pm onward, unavailable on that day","10am - 12pm, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 10pm onward",Analysis,sally@northeastern.edu,,
4/6/2019 18:57:04,John,john@northeastern.edu,666666666,2,84,Not known,Intermediate,Advanced,Not known,Beginner,Not known,Intermediate,Not known,Not known,Beginner,Not known,"8am - 10am, 4pm - 6pm, 6pm - 8pm, 8pm - 10pm, 10pm onward","8am - 10am, 12pm - 2pm, 2pm - 4pm, 6pm - 8pm, 8pm - 10pm, 10pm onward","10am - 12pm, 12pm - 2pm, 10pm onward",unavailable on that day,unavailable on that day,"10am - 12pm, 12pm - 2pm, 6pm - 8pm, 10pm onward","10am - 12pm, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm, 8pm - 10pm","Visualization, Non-relational Database",sally@northeastern.edu,,
4/20/2019 16:25:08,Chev,c@northeastern.edu,5555555555,2,68,Beginner,Not known,Intermediate,Beginner,Advanced,Intermediate,Beginner,Advanced,Beginner,Advanced,Not known,"8am - 10am, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm, 8pm - 10pm, 10pm onward","10am - 12pm, 4pm - 6pm, 8pm - 10pm, 10pm onward","12pm - 2pm, 2pm - 4pm, 6pm - 8pm, 10pm onward","12pm - 2pm, 2pm - 4pm, 4pm - 6pm","10am - 12pm, 12pm - 2pm, 2pm - 4pm, 6pm - 8pm, 8pm - 10pm, 10pm onward","8am - 10am, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm","10am - 12pm, 6pm - 8pm","Web App, Analysis",,,
4/20/2019 16:26:24,Marky,marky@northeastern.edu,4444444444,5,99,Not known,Not known,Not known,Advanced,Not known,Beginner,Not known,Not known,Intermediate,Not known,Not known,unavailable on that day,"8am - 10am, 10am - 12pm, 12pm - 2pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm, 8pm - 10pm, 10pm onward",unavailable on that day,"8am - 10am, 10am - 12pm, 2pm - 4pm, 4pm - 6pm, 6pm - 8pm, 8pm - 10pm, 10pm onward","12pm - 2pm, 2pm - 4pm, 8pm - 10pm, 10pm onward","10am - 12pm, 2pm - 4pm, 6pm - 8pm, 10pm onward",unavailable on that day,Data Collection,c@northeastern.edu,,
